101002|255|12.2
101002|208|360
101002|268|1505
101002|203|7.3
101002|204|1.9
101002|207|1.2
101002|205|77.5
101002|291|4.8
101002|301|8
101002|303|0.9
101002|304|110
101002|305|251
101002|306|173
101002|307|2
101002|309|1.4
101002|312|0.07
101002|315|2.99
101002|404|0.26
101002|405|0
101002|415|0.18
101002|406|4.18
101002|606|0.3
101002|612|0.01
101002|613|0.24
101002|614|0.02
101002|615|0.01
101002|624|0
101002|654|0
101002|645|0.5
101002|626|0
101002|617|0.45
101002|628|0
101002|646|0.4
101002|675|0.38
101002|851|0.02
101020|255|9.3
101020|208|370
101020|268|1546
101020|203|7.3
101020|204|1.6
101020|207|1
101020|205|80.8
101020|291|5.3
101020|301|2
101020|303|0.5
101020|304|20
101020|305|91
101020|306|69
101020|307|272
101020|309|0.6
101020|312|0
101020|315|0
101020|401|0
101020|404|0.12
101020|405|0
101020|415|0.06
101020|406|0
101020|606|0.5
101020|612|0
101020|613|0.39
101020|614|0.05
101020|615|0.01
101020|624|0
101020|654|0.01
101020|645|0.6
101020|626|0
101020|617|0.6
101020|628|0.01
101020|646|0.9
101020|675|0.89
101020|851|0.03
101204|255|85.8
101204|208|51
101204|268|212
101204|203|0.9
101204|204|0.2
101204|207|0.3
101204|205|12.8
101204|291|2.1
101204|301|8
101204|303|0.1
101204|304|7
101204|305|14
101204|306|138
101204|307|0
101204|309|0.1
101204|312|0.06
101204|315|0.34
101204|404|0
101204|405|0.04
101204|415|0.03
101204|606|0.1
101204|611|0
101204|612|0.03
101204|613|0.05
101204|614|0
101204|615|0
101204|624|0
101204|654|0
101204|645|0.1
101204|626|0.04
101204|617|0.04
101204|628|0
101204|646|0
101204|675|0
101204|851|0.04
101204|663|0
101205|255|82.9
101205|208|68
101205|268|286
101205|203|2
101205|204|2.1
101205|207|0.8
101205|205|12.3
101205|291|1.1
101205|301|5
101205|303|0.6
101205|304|28
101205|305|51
101205|306|338
101205|307|2
101205|309|0.4
101205|312|0.19
101205|315|0.12
101205|401|19.8
101205|404|0
101205|405|0.05
101205|415|0.05
101206|255|88.9
101206|208|39
101206|268|162
101206|203|0.8
101206|204|0.2
101206|207|0.5
101206|205|9.6
101206|291|0.5
101206|301|5
101206|303|0.3
101206|304|10
101206|305|15
101206|306|228
101206|307|8
101206|309|0.2
101206|312|0.05
101206|315|0.07
101206|401|7.3
101206|404|0
101206|405|0.09
101206|415|0.06
101206|406|0
101207|255|88.9
101207|208|42
101207|268|176
101207|203|0.8
101207|204|0.2
101207|207|0.5
101207|205|9.6
101207|291|0.4
101207|301|4
101207|303|0.3
101207|304|4
101207|305|14
101207|306|201
101207|307|22
101207|309|0.1
101207|312|0.05
101207|315|0.07
101207|401|13.7
101207|404|0
101207|405|0.08
101207|415|0.05
101207|406|1.92
101208|255|90.7
101208|208|33
101208|268|136
101208|203|0.9
101208|204|0
101208|207|0.3
101208|205|8.1
101208|291|0.1
101208|301|8
101208|303|0.2
101208|304|10
101208|305|12
101208|306|104
101208|307|0
101208|309|0.1
101208|312|0.04
101208|315|0.14
101208|401|6.1
101208|404|0
101208|405|0
101208|415|0
101209|255|91.3
101209|208|29
101209|268|123
101209|203|0.7
101209|204|0
101209|207|0.5
101209|205|7.5
101209|291|0.3
101209|303|0.2
101209|304|6
101209|305|10
101209|306|216
101209|307|11
101209|309|0.1
101209|312|0.04
101209|315|0.05
101209|404|0
101209|405|0
101209|415|0.02
101200|255|86.9
101200|208|45
101200|268|190
101200|203|0.8
101200|204|0.1
101200|207|0.6
101200|205|11.6
101200|291|1.8
