 sd04_i_codigo | sd04_i_unidade | sd04_i_medico | sd04_c_situacao 
           263 |         135010 |           488 | A
           264 |         135010 |         95350 | A
           265 |         135010 |         59717 | A
           266 |         135010 |         95439 | A
           267 |         135012 |          2109 | A
           268 |         135012 |           483 | A
           270 |         135012 |           488 | A
          1074 |         135027 |         96463 | A
           271 |         135012 |         95347 | A
           272 |         135012 |         95353 | A
           273 |         135012 |         56969 | A
           274 |         135012 |          2090 | A
           275 |         135010 |         67031 | A
           276 |         135010 |         95355 | A
           277 |           1350 |         89094 | A
           278 |         135010 |         95352 | A
           279 |         135013 |         95343 | A
           280 |         135010 |         45592 | A
           281 |         135010 |         39391 | A
           282 |         135014 |          1164 | A
           283 |         135014 |          1979 | A
           284 |         135015 |           485 | A
           285 |         135015 |          2092 | A
           235 |           1350 |          1804 | A
           288 |         135010 |          1804 | A
           289 |           1350 |         95357 | A
           290 |         135011 |         68610 | A
           291 |         135011 |         72299 | A
           292 |         135011 |         95358 | A
           293 |         135014 |         95347 | A
           287 |         135015 |          2032 | D
           295 |         135005 |          1164 | A
           297 |         135016 |          4545 | A
           298 |         135014 |         59581 | A
           301 |         135008 |         95365 | A
           302 |         135008 |         95366 | A
           303 |         135010 |         95367 | A
           304 |         135009 |         95367 | A
           305 |         135008 |         95367 | A
           306 |         135007 |         95367 | A
           307 |         135006 |         95367 | A
           308 |         135005 |         95367 | A
           309 |         135004 |         95367 | A
           310 |         135003 |         95367 | A
           311 |         135002 |         95367 | A
           312 |         135018 |         95368 | A
           313 |         135018 |         95369 | A
           314 |         135014 |         95367 | A
           315 |         135016 |         95367 | A
           566 |         135009 |         91914 | D
           318 |         135002 |         25028 | A
           319 |         135002 |         75425 | A
           320 |         135014 |         68776 | A
           321 |         135010 |         74394 | A
           322 |         135019 |         71686 | A
           323 |           1350 |         67031 | A
           324 |           1392 |           478 | A
           325 |           1392 |         73469 | A
           326 |           1392 |          2104 | A
           327 |           1392 |          1324 | A
           328 |           1392 |          2090 | A
           330 |           1392 |          2092 | A
           331 |           1392 |         71686 | A
           332 |           1392 |         95370 | A
           333 |           1392 |         95350 | A
           334 |           1392 |          4891 | A
           335 |           1392 |         95372 | A
           336 |           1392 |         95422 | A
           337 |         135002 |         67031 | A
           286 |         135015 |          1164 | D
           339 |         135011 |         95375 | A
           340 |         135010 |         76348 | A
           341 |         135008 |         95345 | A
           342 |           1350 |         95350 | A
          1007 |            341 |         33990 | A
           346 |         135018 |         95378 | A
           347 |         135012 |          2092 | A
           348 |         123234 |         95380 | A
           349 |         123234 |         95381 | A
           350 |         123234 |         95431 | A
           351 |         123234 |         95382 | A
           352 |         123234 |         91161 | A
           353 |         123234 |         95385 | A
           269 |         135012 |          1804 | A
           355 |         123234 |         95387 | A
           356 |         123234 |         44214 | A
          1140 |         135005 |         86321 | A
           358 |         123234 |         95388 | A
           359 |         123234 |         95389 | A
          1143 |         135009 |         97125 | A
           560 |         135024 |          2032 | A
           362 |         123234 |         95391 | A
           363 |         123234 |         54911 | A
           364 |         123234 |         95394 | A
             4 |            341 |         95402 | A
           366 |         135012 |         95367 | A
           367 |         135008 |         95383 | A
           368 |         135008 |         92907 | A
           369 |         135008 |         95392 | A
           515 |         135022 |         95420 | A
           516 |         135011 |          1250 | A
           591 |         135011 |         95459 | A
           518 |         135011 |         80909 | A
           519 |         135002 |         95457 | A
             9 |         135033 |         95611 | A
           521 |         135014 |         95457 | A
          1008 |            341 |         72299 | A
           523 |           1392 |         95450 | A
           524 |           1350 |         76599 | A
           525 |         135014 |          1259 | A
           527 |         135003 |         86043 | A
           529 |         135010 |         89094 | A
           530 |         135018 |         85969 | A
           531 |         135006 |          1989 | A
           532 |         135010 |         95460 | A
           533 |         135022 |         74526 | A
           534 |         135018 |         95461 | A
           535 |         135011 |         95462 | A
           536 |         135003 |         67560 | A
           537 |         135023 |         56969 | A
           538 |         135023 |         73599 | A
           539 |         135023 |         95375 | A
           540 |         135023 |         95361 | A
           541 |         135023 |         74526 | A
           542 |         135023 |         77075 | A
           543 |         135023 |         33990 | A
           544 |         135014 |         86043 | A
           546 |         135023 |         95463 | A
           547 |         135023 |         95424 | A
           548 |         135006 |           485 | A
           549 |         135007 |         95364 | A
           551 |         135008 |         78688 | A
           552 |         135007 |         75284 | A
           553 |         135437 |         95364 | A
           554 |         135010 |         58347 | A
           555 |         135006 |          1259 | A
           556 |         135013 |         95419 | A
           557 |         135007 |         95464 | A
           558 |         135437 |         78688 | A
           559 |         135024 |          1259 | A
           561 |         135024 |         95367 | A
           562 |         135024 |          2109 | A
           563 |         135024 |         95464 | A
           564 |         135015 |         58347 | A
           613 |         135003 |         91914 | D
           667 |           1350 |         95467 | A
           570 |         135023 |         67890 | A
           571 |         135003 |         75284 | A
           572 |         135021 |         77075 | A
           573 |         135023 |         95402 | A
           574 |         135004 |         39391 | A
           575 |         135009 |         59888 | A
           577 |         135437 |         89271 | A
           579 |         135006 |         59581 | A
           582 |         135008 |         95360 | A
           583 |         135024 |         59581 | A
           585 |         135015 |         95376 | A
           586 |         135010 |         95360 | A
           587 |         135010 |         33305 | A
           588 |         135008 |          1163 | A
           589 |         135011 |         95398 | A
           590 |         135020 |         95459 | A
           592 |         135004 |         59581 | A
           594 |         135007 |         95433 | A
           596 |         135024 |          4194 | A
           597 |         135007 |          4194 | A
           598 |         135003 |         95433 | A
           599 |         135010 |         90762 | A
           600 |         135010 |         95343 | A
           601 |         135025 |         59581 | A
           602 |         135025 |         39391 | A
           603 |         135025 |         59888 | A
           604 |         135025 |         95356 | A
           606 |         135025 |         78043 | A
           607 |         135025 |          2084 | A
           608 |         135011 |         90762 | A
           609 |         135010 |         91914 | A
           611 |         135010 |         95459 | A
           614 |         135007 |         91914 | A
           615 |           1350 |         92075 | A
           616 |         135015 |         92075 | A
           617 |         135003 |          1164 | A
           618 |         135002 |           483 | A
           619 |         135005 |         39391 | A
           620 |         135014 |         91914 | A
           621 |         135008 |         95363 | A
           622 |           1392 |         95373 | A
           623 |         135010 |         81350 | A
           624 |         135025 |          1259 | A
           625 |         135010 |         92075 | A
           626 |         135015 |         95367 | A
           627 |         135010 |         95457 | A
           628 |         135026 |         59581 | A
           629 |         135027 |         68776 | A
           631 |         135020 |         90762 | A
           632 |           1350 |         88561 | A
           633 |         135020 |          1250 | A
           636 |         135027 |         64889 | A
           637 |         135027 |         93186 | A
           638 |         135004 |         95419 | A
           639 |         135004 |         95421 | A
           640 |         135027 |         93169 | A
           641 |         135027 |         90907 | A
           642 |         135028 |         95472 | A
           643 |         135028 |         76223 | A
           644 |         135020 |         79475 | A
           645 |         135029 |           483 | A
           646 |         135029 |         75284 | A
           647 |         135014 |         95439 | A
           649 |         135028 |         74394 | A
           650 |         135030 |         75284 | A
           651 |         135031 |         75284 | A
           652 |         135031 |           483 | A
           653 |         135007 |         45592 | A
           654 |         135032 |           483 | A
           655 |           1350 |         95346 | A
           657 |         135020 |         68610 | A
           658 |         135033 |           479 | A
           659 |         135005 |         45592 | A
           660 |         135034 |         75284 | A
           661 |         135034 |           483 | A
           662 |         135030 |           483 | A
           663 |         135034 |         95376 | A
           664 |         135027 |         95475 | A
           665 |         135030 |         95376 | A
           666 |         135033 |         89094 | A
           668 |           1350 |         95422 | A
           669 |         135035 |           483 | A
           670 |         135035 |         95376 | A
           671 |         135036 |           483 | A
           672 |         135003 |          1168 | A
           673 |         135037 |         95376 | A
           674 |         135038 |         95376 | A
           675 |         135036 |         95376 | A
           676 |         135037 |           483 | A
           677 |         135038 |           483 | A
           678 |         135038 |         75284 | A
           679 |         135031 |         95376 | A
           680 |         135035 |         75284 | A
           751 |         135027 |         89484 | A
           682 |         135011 |         79475 | A
           683 |         135033 |           483 | A
           684 |         135004 |          1259 | A
           685 |         135009 |          1259 | A
           686 |         135033 |         95376 | A
           687 |         135039 |           483 | A
           688 |         135028 |         95367 | A
           689 |         135032 |         75284 | A
           690 |         135032 |         95376 | A
           691 |           1350 |           480 | A
           692 |         135002 |         95476 | A
           693 |         135041 |         75284 | A
           694 |         135041 |         95376 | A
           695 |         135041 |           483 | A
           696 |         135039 |         75284 | A
           697 |         135033 |         75284 | A
           698 |         135039 |         95376 | A
           699 |         135042 |           478 | A
           700 |         135042 |         59717 | A
           702 |         135026 |          2084 | A
           703 |         135007 |         59581 | A
           704 |         135032 |         95477 | A
           705 |         135003 |         59581 | A
           706 |         135010 |         94189 | A
           707 |         135002 |         95356 | A
           746 |         135027 |         95479 | A
           709 |         135011 |         94189 | A
           710 |         135036 |         94189 | A
           711 |         135036 |         75284 | A
           749 |         135020 |         77075 | A
           739 |           1392 |         95481 | A
           714 |         135035 |         94189 | A
           715 |         135034 |         95476 | A
           716 |         135037 |         75284 | A
           717 |         135029 |         94189 | A
           718 |           1350 |         62079 | A
           719 |         135030 |         94189 | A
           720 |         135039 |         94189 | A
           721 |         135031 |         94189 | A
           722 |         135034 |         94189 | A
           723 |           1350 |         95367 | A
           724 |         135009 |         86043 | A
           725 |         135014 |         94189 | A
           726 |         135032 |         95476 | A
           727 |         135041 |         94189 | A
           728 |         135010 |         84097 | A
          1009 |            341 |         95358 | A
           730 |         135036 |         95476 | A
           731 |         135033 |         94189 | A
           732 |         135038 |         95476 | A
           733 |         135029 |         95376 | A
           701 |         135026 |         78043 | A
           736 |         135025 |         74394 | A
           737 |         135002 |         87485 | A
           738 |         135004 |          1250 | A
          1144 |         135005 |         97125 | A
           741 |         135032 |         95367 | A
           742 |         135032 |         94189 | A
           743 |         135043 |         75284 | A
           744 |         135043 |         94189 | A
           745 |         135037 |         94189 | A
           747 |         135008 |         95356 | A
           748 |         135014 |           483 | A
           750 |         135007 |         95347 | A
           752 |         135038 |         94189 | A
           754 |         135024 |         95347 | A
           755 |         135002 |         95419 | A
           756 |         135011 |         95481 | A
           757 |         135011 |         95482 | A
           760 |         135017 |         74069 | A
           763 |         135002 |         95363 | A
