1| 4| 2001| 200| 1| U| 13| 0|Apr| 0| 381|61| 1| 0|1|1|||
2| 4| 2001| 200| 1| U| 1| 0|Apr| 0| 381|60| 1| 0|1|2|||
3| 4| 2001| 200| 1| U| 3| 0|Apr| 0| 381|61| 1| 0|1|3|||
4| 4| 2001| 200| 1| U| 9| 0|Apr| 0| 381|61| 1| 0|1|4|||
5| 4| 2001| 200| 1| U| 7| 0|Apr| 0| 381|70| 1| 0|1|5|||
6| 4| 2001| 200| 1| U| 6| 0|Apr| 0| 381|65| 1| 0|1|6|||
7| 4| 2001| 200| 1| U| 15| 0|Apr| 0| 381|70| 1| 0|1|7|||
8| 6| 2003| 200| 2| 21| 2| 0|Apr| 0| 381|61| 1| 0|2|8|||
9| 6| 2003| 200| 2| 21| 1| 0|Apr| 0| 381|64| 1| 0|2|9|||
10| 6| 2003| 200| 2| 21| 3| 0|Apr| 0| 381|66| 1| 0|2|10|||
11| 6| 2003| 200| 2| 21| 9| 0|Apr| 0| 381|62| 1| 0|2|11|||
12| 6| 2003| 200| 2| 21| 6| 0|Apr| 0| 381|70| 1| 0|2|12|||
13| 6| 2003| 200| 2| 21| 7| 0|Apr| 0| 381|77| 1| 0|2|13|||
14| 6| 2003| 200| 2| 21| 8| 0|Apr| 0| 381|73| 1| 0|2|14|||
16| 6| 2005| 200| 3|32| 2| 0|Apr| 0| 381|78| 1| 0|3|15|||
17| 6| 2005| 200| 3|32| 1| 0|Apr| 0| 381|70| 1| 0|3|16|||
18| 6| 2005| 200| 3|32| 3| 0|Apr| 0| 381|63| 1| 0|3|17|||
19| 6| 2005| 200| 3|32| 9| 0|Apr| 0| 381|70| 1| 0|3|18|||
20| 6| 2005| 200| 3|32| 6| 0|Apr| 0| 381|73| 1| 0|3|19|||
21| 6| 2005| 200| 3|32| 7| 0|Apr| 0| 381|76| 1| 0|3|20|||
22| 6| 2005| 200| 3|32| 8| 0|Apr| 0| 381|81| 1| 0|3|21|||
24| 6| 2006| 200| 4|43| 2| 0|Apr| 0| 381|61| 1| 0|4|22|||
25| 6| 2006| 200| 4|43| 1| 0|Apr| 0| 381|64| 1| 0|4|23|||
26| 6| 2006| 200| 4|43| 3| 0|Apr| 0| 381|63| 1| 0|4|24|||
27| 6| 2006| 200| 4|43| 4| 0|Apr| 0| 381|60| 1| 0|4|25|||
